CV Time,Train Score,Validation Score,ansatz,optimizer,reps
930.7815389633179,0.511326860841424,0.5028386050283861,RealAmplitudes,COBYLA,1
980.1246135234833,0.5331715210355986,0.5012165450121655,RealAmplitudes,COBYLA,2
1031.9752297401428,0.5076860841423948,0.5044606650446067,RealAmplitudes,COBYLA,3
1080.4604036808014,0.5153721682847897,0.5012165450121654,RealAmplitudes,COBYLA,4
1130.0386805534363,0.5335760517799354,0.4906731549067316,RealAmplitudes,COBYLA,5
1180.514680147171,0.5250809061488674,0.47364152473641524,RealAmplitudes,COBYLA,6
998.4975981712341,0.5040453074433657,0.5077047850770479,EfficientSU2,COBYLA,1
1079.4753742218018,0.511326860841424,0.505271695052717,EfficientSU2,COBYLA,2
1168.4389276504517,0.5408576051779935,0.49878345498783455,EfficientSU2,COBYLA,3
1251.8086714744568,0.529126213592233,0.48986212489862124,EfficientSU2,COBYLA,4
1336.8397045135498,0.5214401294498382,0.47364152473641524,EfficientSU2,COBYLA,5
1428.1298696994781,0.5145631067961165,0.48661800486618007,EfficientSU2,COBYLA,6
1130.8871250152588,0.5101132686084142,0.49148418491484186,ExcitationPreserving,COBYLA,1
1380.2034041881561,0.5368122977346279,0.5214922952149229,ExcitationPreserving,COBYLA,2
1636.8387117385864,0.5222491909385113,0.5239253852392539,ExcitationPreserving,COBYLA,3
1900.7954664230347,0.5275080906148868,0.4906731549067316,ExcitationPreserving,COBYLA,4
2168.9260880947113,0.5169902912621359,0.5117599351175993,ExcitationPreserving,COBYLA,5
2447.730332136154,0.5279126213592233,0.4890510948905109,ExcitationPreserving,COBYLA,6
